id;start_date;end_date;language
1;2020-10-13T12:39:37;2020-10-13T10:29:52;SPANISH
2;2020-10-12T17:29:48;2020-10-13T12:34:13;SPANISH
3;2020-10-13T08:25:07;2020-10-12T18:59:16;FRENCH
4;2020-10-12T23:42:38;2020-10-13T11:14:04;FRENCH
5;2020-10-13T09:12:56;2020-10-13T13:59:55;FRENCH
6;2020-10-13T03:05:17;2020-10-13T15:13:31;FRENCH
7;2020-10-13T04:50:37;2020-10-12T22:41:28;FRENCH
8;2020-10-13T03:46:50;2020-10-13T14:02:58;SPANISH
9;2020-10-13T02:27:59;2020-10-12T23:09:22;SPANISH
10;2020-10-13T10:40:03;2020-10-12T21:14:33;SPANISH
